"","Year and control of institution","Constant 2017-18 dollars1","Constant 2017-18 dollars1","Constant 2017-18 dollars1","Constant 2017-18 dollars1","Constant 2017-18 dollars1","Constant 2017-18 dollars1","Constant 2017-18 dollars1","Constant 2017-18 dollars1","Constant 2017-18 dollars1","Constant 2017-18 dollars1","Constant 2017-18 dollars1","Constant 2017-18 dollars1","Current dollars","Current dollars","Current dollars","Current dollars","Current dollars","Current dollars","Current dollars","Current dollars","Current dollars","Current dollars","Current dollars","Current dollars"
"1","Year and control of institution","Total tuition, fees, room, and board","Total tuition, fees, room, and board","Total tuition, fees, room, and board","Tuition and required fees2","Tuition and required fees2","Tuition and required fees2","Dormitory rooms","Dormitory rooms","Dormitory rooms","Board3","Board3","Board3","Total tuition, fees, room, and board","Total tuition, fees, room, and board","Total tuition, fees, room, and board","Tuition and required fees2","Tuition and required fees2","Tuition and required fees2","Dormitory rooms","Dormitory rooms","Dormitory rooms","Board3","Board3","Board3"
"2","Year and control of institution","All insti-tutions","4-year","2-year","All insti-tutions","4-year","2-year","All insti-tutions","4-year","2-year","All insti-tutions","4-year","2-year","All insti-tutions","4-year","2-year","All insti-tutions","4-year","2-year","All insti-tutions","4-year","2-year","All insti-tutions","4-year","2-year"
"175","","","","","","","","","","","","","","","","","","","","","","","","",""
"176","1999-2000","29,626","30,393","20,585","20,666","21,422","12,055","4,743","4,751","4,496","4,217","4,220","4,034","20,213","20,737","14,045","14,100","14,616","8,225","3,236","3,242","3,067","2,877","2,879","2,753"
"177","2000-01","30,288","30,973","21,125","21,257","21,923","12,849","4,793","4,807","4,260","4,238","4,242","4,017","21,373","21,856","14,907","15,000","15,470","9,067","3,382","3,392","3,006","2,991","2,993","2,834"
"178","2001-02","31,210","31,882","22,036","21,920","22,573","14,031","4,967","4,980","4,339","4,322","4,329","3,667","22,413","22,896","15,825","15,742","16,211","10,076","3,567","3,576","3,116","3,104","3,109","2,633"
"179","2002-03","31,802","32,411","24,189","22,322","22,926","14,512","5,112","5,129","4,404","4,368","4,356","5,273","23,340","23,787","17,753","16,383","16,826","10,651","3,752","3,764","3,232","3,206","3,197","3,870"
"180","2003-04","32,832","33,427","26,078","23,087","23,685","15,394","5,260","5,270","4,774","4,485","4,472","5,910","24,624","25,070","19,558","17,315","17,763","11,545","3,945","3,952","3,581","3,364","3,354","4,432"
"181","","","","","","","","","","","","","","","","","","","","","","","","",""
"182","2004-05","33,417","33,991","26,273","23,498","24,081","15,691","5,408","5,401","5,793","4,511","4,509","4,789","25,817","26,260","20,297","18,154","18,604","12,122","4,178","4,173","4,475","3,485","3,483","3,700"
"183","2005-06","33,552","34,082","26,689","23,520","24,055","15,524","5,486","5,491","5,204","4,545","4,535","5,961","26,908","27,333","21,404","18,862","19,292","12,450","4,400","4,404","4,173","3,645","3,637","4,781"
"184","2006-07","34,568","35,151","24,655","24,367","24,938","15,446","5,599","5,607","5,040","4,603","4,607","4,169","28,440","28,919","20,284","20,047","20,517","12,708","4,606","4,613","4,147","3,787","3,790","3,430"
"185","2007-08","34,890","35,426","25,417","24,581","25,113","15,387","5,630","5,635","5,256","4,679","4,678","4,775","29,768","30,226","21,686","20,972","21,427","13,128","4,803","4,808","4,484","3,992","3,992","4,074"
"186","2008-09","35,561","36,102","26,266","24,939","25,476","15,682","5,809","5,816","5,263","4,813","4,810","5,320","30,764","31,232","22,723","21,575","22,040","13,567","5,025","5,031","4,553","4,164","4,161","4,603"
"187","","","","","","","","","","","","","","","","","","","","","","","","",""
"188","2009-10","35,880","36,459","28,006","24,916","25,495","17,015","6,008","6,009","5,966","4,956","4,956","5,026","31,341","31,847","24,463","21,764","22,269","14,862","5,248","5,248","5,211","4,329","4,329","4,390"
"189","2010-11","35,773","36,494","25,926","24,737","25,451","15,361","6,064","6,071","5,543","4,972","4,972","5,022","31,875","32,517","23,101","22,042","22,677","13,687","5,403","5,410","4,939","4,430","4,430","4,475"
"190","2011-12","36,045","36,720","25,737","24,915","25,584","15,223","6,130","6,136","5,636","5,000","5,001","4,879","33,058","33,677","23,605","22,850","23,464","13,961","5,622","5,627","5,169","4,586","4,586","4,475"
"191","2012-13","36,983","37,614","25,048","25,679","26,301","15,175","6,254","6,260","5,607","5,050","5,054","4,266","34,483","35,071","23,355","23,943","24,523","14,149","5,831","5,837","5,228","4,709","4,712","3,977"
"192","2013-14","38,011","38,649","25,207","26,516","27,147","14,964","6,358","6,364","5,796","5,136","5,139","4,447","35,995","36,599","23,870","25,110","25,707","14,170","6,021","6,026","5,489","4,864","4,866","4,211"
"193","","","","","","","","","","","","","","","","","","","","","","","","",""
"194","2014-15","39,232","39,825","25,504","27,448","28,032","14,951","6,522","6,530","5,773","5,262","5,264","4,780","37,422","37,988","24,327","26,182","26,739","14,261","6,221","6,228","5,506","5,019","5,021","4,560"
"195","2015-16","40,630","41,168","25,383","28,571","29,097","15,128","6,724","6,732","5,901","5,335","5,340","4,354","39,016","39,534","24,375","27,436","27,942","14,528","6,457","6,464","5,666","5,123","5,128","4,181"
"196","2016-17","41,845","42,400","25,449","29,597","30,140","14,918","6,861","6,868","6,083","5,387","5,392","4,448","40,922","41,465","24,888","28,945","29,476","14,589","6,710","6,717","5,949","5,268","5,273","4,350"
"197","2017-18","42,681","43,139","25,596","30,282","30,731","14,894","6,961","6,967","6,057","5,437","5,441","4,645","42,681","43,139","25,596","30,282","30,731","14,894","6,961","6,967","6,057","5,437","5,441","4,645"
"198","","","","","","","","","","","","","","","","","","","","","","","","",""
"199","Nonprofit","","","","","","","","","","","","","","","","","","","","","","","",""
"200","1999-2000","30,763","31,118","17,131","21,854","22,178","10,102","4,696","4,720","3,100","4,214","4,220","3,928","20,989","21,231","11,688","14,911","15,131","6,893","3,204","3,221","2,115","2,875","2,879","2,680"
"201","2000-01","31,083","31,417","16,604","22,101","22,407","9,875","4,743","4,769","2,846","4,238","4,242","3,883","21,934","22,170","11,717","15,596","15,811","6,968","3,347","3,365","2,008","2,991","2,993","2,740"
"202","2001-02","32,138","32,385","18,060","22,892","23,120","11,316","4,923","4,936","3,208","4,322","4,329","3,536","23,080","23,257","12,970","16,440","16,604","8,126","3,536","3,544","2,304","3,104","3,109","2,540"
"203","2002-03","33,077","33,308","19,677","23,652","23,868","12,136","5,072","5,084","3,605","4,353","4,356","3,936","24,276","24,446","14,442","17,359","17,517","8,907","3,723","3,731","2,646","3,195","3,197","2,889"
"204","2003-04","34,247","34,471","20,759","24,572","24,779","12,782","5,209","5,220","3,805","4,466","4,472","4,172","25,685","25,853","15,569","18,429","18,584","9,587","3,907","3,915","2,853","3,349","3,354","3,129"
"205","","","","","","","","","","","","","","","","","","","","","","","","",""
"206","2004-05","35,057","35,279","20,589","25,239","25,438","12,827","5,324","5,332","3,792","4,495","4,509","3,970","27,083","27,255","15,906","19,498","19,652","9,910","4,113","4,119","2,929","3,472","3,483","3,067"
"207","2005-06","35,562","35,777","20,361","25,646","25,851","12,866","5,381","5,391","3,761","4,535","4,535","3,734","28,520","28,692","16,329","20,568","20,732","10,318","4,315","4,323","3,017","3,637","3,637","2,994"
"208","2006-07","36,666","36,854","21,492","26,547","26,733","13,292","5,509","5,515","4,346","4,610","4,607","3,853","30,166","30,321","17,682","21,841","21,994","10,936","4,532","4,537","3,576","3,793","3,790","3,170"
"209","2007-08","37,413","37,565","22,101","27,193","27,342","13,817","5,538","5,544","4,449","4,682","4,678","3,835","31,921","32,050","18,857","23,201","23,329","11,789","4,725","4,730","3,796","3,994","3,992","3,272"
"210","2008-09","38,879","39,024","23,420","28,323","28,479","14,567","5,730","5,735","4,496","4,826","4,810","4,358","33,635","33,761","20,261","24,503","24,638","12,602","4,957","4,962","3,889","4,175","4,161","3,770"
"211","","","","","","","","","","","","","","","","","","","","","","","","",""
"212","2009-10","39,977","40,118","23,762","29,074","29,234","14,466","5,923","5,928","4,713","4,981","4,956","4,584","34,920","35,042","20,756","25,396","25,535","12,636","5,173","5,178","4,116","4,351","4,329","4,004"
"213","2010-11","40,743","40,870","22,549","29,675","29,832","14,218","6,058","6,065","4,466","5,010","4,972","3,865","36,304","36,416","20,092","26,441","26,581","12,668","5,398","5,404","3,980","4,464","4,430","3,444"
"214","2011-12","41,112","41,254","24,997","29,923","30,111","15,350","6,136","6,142","4,668","5,053","5,001","4,980","37,705","37,835","22,926","27,443","27,616","14,078","5,628","5,633","4,281","4,634","4,586","4,567"
"215","2012-13","42,011","42,149","23,753","30,637","30,827","14,784","6,262","6,268","4,724","5,111","5,054","4,245","39,171","39,299","22,148","28,566","28,743","13,785","5,838","5,844","4,405","4,766","4,712","3,958"
"216","2013-14","42,912","43,012","24,289","31,333","31,493","14,787","6,375","6,380","5,061","5,204","5,139","4,441","40,636","40,731","23,001","29,671","29,823","14,003","6,037","6,042","4,793","4,928","4,866","4,206"
"217","","","","","","","","","","","","","","","","","","","","","","","","",""
"218","2014-15","43,999","44,098","24,723","32,124","32,278","14,984","6,551","6,556","5,281","5,324","5,264","4,457","41,969","42,063","23,582","30,641","30,789","14,293","6,249","6,254","5,038","5,078","5,021","4,252"
"219","2015-16","44,858","44,989","25,356","32,708","32,884","15,333","6,760","6,765","5,602","5,390","5,340","4,421","43,077","43,202","24,349","31,409","31,578","14,724","6,491","6,497","5,379","5,176","5,128","4,246"
"220","2016-17","45,552","45,707","25,838","33,287","33,454","15,646","6,855","6,860","5,741","5,410","5,392","4,450","44,548","44,699","25,268","32,553","32,717","15,301","6,704","6,709","5,615","5,291","5,273","4,352"
"221","2017-18","46,014","46,150","26,531","33,605","33,755","15,790","6,950","6,954","6,016","5,459","5,441","4,725","46,014","46,150","26,531","33,605","33,755","15,790","6,950","6,954","6,016","5,459","5,441","4,725"
"222","","","","","","","","","","","","","","","","","","","","","","","","",""
"223","For-profit","","","","","","","","","","","","","","","","","","","","","","","",""
"224","1999-2000","23,633","24,253","23,060","12,761","12,694","12,848","6,224","6,788","5,733","4,647","4,771","4,479","16,124","16,547","15,734","8,707","8,661","8,766","4,247","4,631","3,912","3,171","3,255","3,056"
"225","2000-01","25,065","25,820","24,178","14,444","14,753","14,094","6,387","7,029","5,604","4,235","4,037","4,480","17,688","18,220","17,061","10,192","10,411","9,945","4,507","4,960","3,955","2,988","2,849","3,161"
"226","2001-02","25,867","27,532","23,611","15,122","15,413","14,801","6,446","7,514","4,984","4,299","4,605","3,826","18,576","19,772","16,956","10,860","11,069","10,629","4,629","5,396","3,579","3,087","3,307","2,748"
"227","2002-03","26,833","27,304","26,439","15,410","15,542","15,163","6,238","7,335","4,809","5,186","4,426","6,466","19,694","20,039","19,404","11,310","11,407","11,129","4,578","5,384","3,530","3,806","3,249","4,746"
"228","2003-04","29,096","29,177","29,828","16,371","16,531","16,032","6,789","7,672","5,322","5,935","4,974","8,474","21,822","21,883","22,371","12,278","12,398","12,024","5,092","5,754","3,992","4,451","3,730","6,355"
"229","","","","","","","","","","","","","","","","","","","","","","","","",""
"230","2004-05","29,898","30,309","28,933","16,874","17,083","16,319","7,320","7,589","6,665","5,704","5,637","5,949","23,098","23,415","22,353","13,036","13,197","12,607","5,655","5,863","5,149","4,407","4,355","4,596"
"231","2005-06","29,374","28,960","32,009","16,505","16,602","16,158","7,588","8,086","5,956","5,281","4,272","9,895","23,557","23,225","25,670","13,237","13,315","12,959","6,085","6,485","4,776","4,235","3,426","7,935"
"232","2006-07","29,180","30,037","25,830","17,354","17,737","15,904","7,542","8,068","5,428","4,285","4,232","4,498","24,007","24,712","21,251","14,277","14,593","13,084","6,205","6,638","4,466","3,525","3,481","3,701"
"233","2007-08","29,003","29,398","27,571","16,888","17,163","15,664","7,554","7,948","5,744","4,561","4,288","6,163","24,746","25,083","23,524","14,409","14,643","13,365","6,445","6,781","4,901","3,892","3,658","5,258"
"234","2008-09","28,101","28,247","28,491","16,545","16,676","15,872","7,181","7,446","5,687","4,375","4,125","6,932","24,311","24,437","24,648","14,313","14,427","13,731","6,212","6,441","4,920","3,785","3,569","5,997"
"235","","","","","","","","","","","","","","","","","","","","","","","","",""
"236","2009-10","27,612","27,344","29,734","16,061","15,764","17,323","7,146","7,249","6,506","4,405","4,331","5,905","24,118","23,885","25,973","14,029","13,769","15,132","6,242","6,332","5,683","3,847","3,783","5,158"
"237","2010-11","25,792","25,672","28,940","15,419","15,405","15,479","6,127","6,149","5,978","4,246","4,118","7,483","22,982","22,875","25,787","13,739","13,727","13,792","5,460","5,479","5,327","3,783","3,669","6,668"
"238","2011-12","25,048","24,994","25,608","14,993","14,951","15,204","6,060","6,052","6,135","3,994","3,991","4,269","22,972","22,923","23,486","13,751","13,712","13,944","5,558","5,551","5,627","3,663","3,660","3,915"
"239","2012-13","24,845","24,762","25,757","14,769","14,683","15,242","6,157","6,164","6,080","3,920","3,915","4,435","23,165","23,088","24,016","13,770","13,691","14,212","5,740","5,747","5,669","3,655","3,651","4,135"
"240","2013-14","24,432","24,338","25,710","14,562","14,482","14,991","6,128","6,119","6,220","3,742","3,736","4,498","23,137","23,047","24,346","13,789","13,714","14,196","5,803","5,795","5,891","3,544","3,538","4,260"
"241","","","","","","","","","","","","","","","","","","","","","","","","",""
"242","2014-15","24,504","24,402","26,869","14,648","14,598","14,945","6,076","6,078","6,059","3,780","3,726","5,865","23,373","23,277","25,629","13,972","13,924","14,256","5,796","5,798","5,780","3,605","3,554","5,594"
"243","2015-16","24,760","24,703","25,316","14,780","14,735","15,076","6,091","6,083","6,173","3,889","3,885","4,067","23,777","23,722","24,310","14,193","14,150","14,477","5,849","5,842","5,928","3,735","3,731","3,905"
"244","2016-17","26,004","26,107","25,591","14,744","14,748","14,723","7,044","7,154","6,430","4,216","4,206","4,438","25,431","25,531","25,027","14,419","14,423","14,399","6,889","6,996","6,288","4,123","4,113","4,340"
"245","2017-18","26,261","26,412","25,065","14,676","14,686","14,605","7,268","7,411","6,102","4,317","4,315","4,357","26,261","26,412","25,065","14,676","14,686","14,605","7,268","7,411","6,102","4,317","4,315","4,357"
